episode,score,avg_score,loss,epsilon
180,1,0.68,2.4,0.4057
181,1,0.68,2.3161,0.4036
182,3,0.74,2.3663,0.4016
183,2,0.78,2.3032,0.3996
184,1,0.7,2.4588,0.3976
185,2,0.72,2.6777,0.3956
186,1,0.72,2.2808,0.3936
187,4,0.8,2.6399,0.3917
188,0,0.8,3.2809,0.3897
189,3,0.84,2.636,0.3878
190,0,0.84,2.5575,0.3858
191,3,0.88,2.8905,0.3839
192,3,0.94,2.9454,0.382
193,0,0.94,2.5603,0.3801
194,1,0.94,2.7811,0.3782
195,0,0.94,2.6182,0.3763
196,1,0.92,2.9464,0.3744
197,2,0.94,3.1796,0.3725
198,0,0.92,2.7049,0.3707
199,1,0.94,3.0824,0.3688
200,0,0.94,2.2096,0.367
201,1,0.94,2.8762,0.3651
202,2,0.98,2.379,0.3633
203,2,1.02,2.8331,0.3615
204,2,1.06,2.6217,0.3597
205,1,1.06,2.8738,0.3579
206,3,1.08,2.9464,0.3561
207,3,1.12,3.4081,0.3543
208,1,1.1,2.8135,0.3525
209,0,1.08,2.6755,0.3508
210,0,1.08,3.1878,0.349
211,2,1.12,2.9121,0.3473
212,0,1.12,2.5348,0.3455
213,2,1.16,3.0773,0.3438
214,0,1.16,3.1274,0.3421
215,0,1.16,3.5,0.3404
216,3,1.2,3.3299,0.3387
217,1,1.2,3.5342,0.337
218,1,1.22,2.9968,0.3353
219,0,1.22,3.2179,0.3336
220,1,1.22,2.877,0.332
221,1,1.24,3.0288,0.3303
222,2,1.28,3.3922,0.3286
223,1,1.24,2.9234,0.327
224,2,1.28,3.347,0.3254
225,2,1.32,3.4577,0.3237
226,2,1.36,2.9654,0.3221
227,8,1.5,3.4748,0.3205
228,2,1.5,3.4166,0.3189
229,4,1.56,3.6361,0.3173
230,0,1.54,3.2977,0.3157
231,1,1.54,3.2968,0.3141
232,0,1.48,4.2527,0.3126
233,0,1.44,3.4379,0.311
234,2,1.46,3.5419,0.3095
235,2,1.46,3.61,0.3079
236,2,1.48,3.3952,0.3064
237,1,1.42,3.4959,0.3048
238,0,1.42,4.2992,0.3033
239,0,1.36,3.3021,0.3018
240,1,1.38,3.6808,0.3003
241,1,1.34,4.0424,0.2988
242,5,1.38,3.7771,0.2973
243,1,1.4,4.0332,0.2958
244,1,1.4,3.2552,0.2943
245,3,1.46,4.1564,0.2929
246,1,1.46,3.3394,0.2914
247,1,1.44,3.6067,0.2899
248,2,1.48,3.4388,0.2885
249,0,1.46,3.5637,0.287
250,0,1.46,3.5808,0.2856
251,3,1.5,4.0212,0.2842
252,9,1.64,3.8421,0.2828
253,1,1.62,3.9995,0.2813
254,0,1.58,4.7069,0.2799
255,0,1.56,3.5405,0.2785
256,0,1.5,4.6102,0.2771
257,2,1.48,4.5128,0.2758
258,1,1.48,4.1274,0.2744
259,1,1.5,4.1605,0.273
260,1,1.52,4.0613,0.2716
261,1,1.5,3.6541,0.2703
262,7,1.64,4.5133,0.2689
263,5,1.7,4.6402,0.2676
264,0,1.7,4.5932,0.2663
265,7,1.84,4.1512,0.2649
266,1,1.8,5.0122,0.2636
267,1,1.8,4.9744,0.2623
268,0,1.78,3.8435,0.261
269,10,1.98,4.4322,0.2597
270,0,1.96,5.2366,0.2584
271,1,1.96,4.4055,0.2571
272,1,1.94,3.5232,0.2558
273,3,1.98,4.1917,0.2545
274,0,1.94,4.7491,0.2532
275,0,1.9,4.1206,0.252
276,0,1.86,4.2015,0.2507
277,0,1.7,3.5809,0.2495
278,5,1.76,4.4251,0.2482
279,1,1.7,4.5106,0.247
280,1,1.72,3.5543,0.2457
281,2,1.74,4.3804,0.2445
282,1,1.76,4.1725,0.2433
283,2,1.8,3.7581,0.2421
284,4,1.84,4.6273,0.2409
285,6,1.92,4.3567,0.2397
286,4,1.96,4.5488,0.2385
287,0,1.94,3.5787,0.2373
288,9,2.12,4.2816,0.2361
289,3,2.18,4.3437,0.2349
290,2,2.2,4.3192,0.2337
291,2,2.22,5.3374,0.2326
292,3,2.18,4.9703,0.2314
293,0,2.16,3.721,0.2302
294,2,2.18,4.0006,0.2291
295,6,2.24,4.8674,0.2279
296,0,2.22,4.2962,0.2268
297,0,2.2,5.3847,0.2257
298,4,2.24,5.1191,0.2245
299,2,2.28,4.2216,0.2234
300,3,2.34,4.8414,0.2223
301,3,2.34,4.8941,0.2212
302,6,2.28,4.792,0.2201
303,2,2.3,4.2699,0.219
304,1,2.32,5.1025,0.2179
305,0,2.32,4.1789,0.2168
306,1,2.34,4.2141,0.2157
307,2,2.34,4.7816,0.2146
308,4,2.4,4.1656,0.2136
309,1,2.4,4.1941,0.2125
310,3,2.44,4.7979,0.2114
311,1,2.44,3.7544,0.2104
312,4,2.38,4.7535,0.2093
