episode,score,avg_score,loss,epsilon
179,13,12.68,9.6949,0.0078
180,20,12.82,10.0745,0.0078
181,14,12.9,9.8166,0.0078
182,11,12.68,9.8555,0.0078
183,7,12.68,11.1091,0.0078
184,18,12.96,10.1256,0.0078
185,22,13.12,10.1848,0.0078
186,10,12.9,9.7279,0.0078
187,13,12.98,9.7624,0.0078
188,12,12.86,10.7762,0.0078
189,12,12.9,9.8939,0.0078
190,17,13.12,10.5982,0.0078
191,19,13.4,10.1568,0.0078
192,22,13.64,9.9523,0.0078
193,24,13.98,10.2462,0.0078
194,4,13.8,9.9316,0.0078
195,0,13.52,11.4557,0.0078
196,12,13.24,10.1,0.0078
197,14,13.4,11.0406,0.0078
198,10,13.44,11.617,0.0078
199,5,13.34,10.6822,0.0078
200,12,13.22,10.456,0.0078
201,15,13.06,11.0553,0.0078
202,9,12.76,11.3652,0.0078
203,8,12.68,11.0383,0.0078
204,10,12.54,10.8109,0.0078
205,10,12.4,9.5206,0.0078
206,23,12.66,10.9576,0.0078
207,14,12.84,10.6201,0.0078
208,17,12.8,10.9541,0.0078
209,13,12.72,11.8802,0.0078
210,10,12.62,11.1258,0.0078
211,24,13.04,11.113,0.0078
212,11,12.94,10.3517,0.0078
213,18,13.02,11.3037,0.0078
214,12,13.12,10.1747,0.0078
215,7,12.92,13.1298,0.0078
216,0,12.84,10.375,0.0078
217,0,12.64,8.887,0.0078
218,11,12.62,11.8548,0.0078
219,18,12.86,11.0044,0.0078
220,29,13.34,11.2279,0.0078
221,10,13.16,12.6217,0.0078
222,23,13.32,11.21,0.0078
223,13,13.16,11.6716,0.0078
224,9,13.04,11.5182,0.0078
225,17,13.22,11.8038,0.0078
226,20,13.38,11.2127,0.0078
227,14,13.36,12.1899,0.0078
228,14,13.4,11.3004,0.0078
229,10,13.34,11.3142,0.0078
230,0,12.94,10.946,0.0078
231,23,13.12,10.8095,0.0078
232,16,13.22,11.9074,0.0078
233,13,13.34,11.3008,0.0078
234,22,13.42,11.7213,0.0078
235,16,13.3,11.2078,0.0078
236,16,13.42,11.6995,0.0078
237,24,13.64,12.3995,0.0078
238,16,13.72,11.9578,0.0078
239,10,13.68,10.7457,0.0078
240,15,13.64,11.9079,0.0078
241,12,13.5,11.9494,0.0078
242,13,13.32,12.1408,0.0078
243,5,12.94,9.5017,0.0078
244,23,13.32,13.0424,0.0078
245,14,13.6,11.5985,0.0078
246,26,13.88,12.3779,0.0078
247,9,13.78,11.3009,0.0078
248,22,14.02,11.6889,0.0078
249,8,14.08,11.064,0.0078
250,20,14.24,11.4729,0.0078
251,22,14.38,12.006,0.0078
252,14,14.48,11.0631,0.0078
253,13,14.58,11.9284,0.0078
254,14,14.66,12.1188,0.0078
255,18,14.82,13.5468,0.0078
256,15,14.66,12.3822,0.0078
257,19,14.76,12.3049,0.0078
258,22,14.86,12.932,0.0078
259,7,14.74,12.4481,0.0078
260,15,14.84,11.7956,0.0078
261,22,14.8,12.1368,0.0078
262,26,15.1,12.328,0.0078
263,9,14.92,13.5729,0.0078
264,17,15.02,11.9697,0.0078
265,24,15.36,12.2015,0.0078
266,19,15.74,13.2108,0.0078
267,15,16.04,13.3612,0.0078
268,17,16.16,12.8661,0.0078
269,16,16.12,12.1624,0.0078
270,11,15.76,12.9302,0.0078
271,18,15.92,12.9779,0.0078
272,23,15.92,12.4668,0.0078
273,18,16.02,14.0757,0.0078
274,13,16.1,13.8771,0.0078
275,11,15.98,12.5593,0.0078
276,22,16.02,12.9738,0.0078
277,9,15.92,14.0533,0.0078
278,22,16.08,12.7831,0.0078
279,28,16.44,12.8589,0.0078
280,13,16.7,12.9857,0.0078
281,18,16.6,12.8243,0.0078
282,17,16.62,12.3919,0.0078
283,11,16.58,13.8863,0.0078
284,8,16.3,11.9587,0.0078
285,11,16.2,13.3643,0.0078
286,17,16.22,12.259,0.0078
287,23,16.2,12.2422,0.0078
288,13,16.14,12.1929,0.0078
289,7,16.08,13.4639,0.0078
290,11,16.0,12.3643,0.0078
291,17,16.1,12.5444,0.0078
292,3,15.9,17.4326,0.0078
293,20,16.2,13.6032,0.0078
294,13,16.0,11.678,0.0078
295,15,16.02,13.2481,0.0078
296,16,15.82,12.3852,0.0078
297,8,15.8,12.0657,0.0078
298,16,15.68,12.5408,0.0078
299,7,15.66,12.3539,0.0078
300,17,15.6,14.1019,0.0078
301,19,15.54,14.1116,0.0078
302,7,15.4,13.0131,0.0078
303,6,15.26,12.9626,0.0078
304,11,15.2,14.4655,0.0078
305,22,15.28,13.8841,0.0078
306,23,15.44,13.672,0.0078
307,14,15.34,13.8052,0.0078
308,4,14.98,11.8692,0.0078
309,11,15.06,14.2336,0.0078
310,5,14.86,15.7884,0.0078
311,11,14.64,12.8556,0.0078
312,15,14.42,14.186,0.0078
313,20,14.64,12.9731,0.0078
314,1,14.32,14.478,0.0078
315,1,13.86,7.7357,0.0078
316,15,13.78,16.3326,0.0078
317,17,13.82,14.7744,0.0078
318,18,13.84,12.2906,0.0078
319,5,13.62,10.5353,0.0078
320,15,13.7,14.1471,0.0078
321,4,13.42,13.35,0.0078
322,13,13.22,14.8453,0.0078
323,27,13.4,14.6497,0.0078
324,13,13.4,13.9255,0.0078
325,15,13.48,13.5204,0.0078
326,10,13.24,13.2325,0.0078
327,14,13.34,15.5597,0.0078
328,27,13.44,14.5216,0.0078
329,19,13.26,14.2633,0.0078
330,9,13.18,15.7551,0.0078
331,8,12.98,15.8973,0.0078
332,13,12.9,14.1869,0.0078
333,9,12.86,17.6901,0.0078
334,14,12.98,14.533,0.0078
335,8,12.92,14.7055,0.0078
